image,caption
1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other
1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied
1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat
1007320043_627395c3d8.jpg,A child playing on a rope net
1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence
1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball
1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him
1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump
101654506_8eb26cfb60.jpg,A dog is running in the snow
101669240_b2d3e7f17b.jpg,A person wearing skis looking at framed pictures set up in the snow
1016887272_03199f49c4.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line
1019077836_6fc9b15408.jpg,A brown dog running on a lawn near a garden hose
1019604187_d087bf9a5f.jpg,A white dog running after a yellow ball
1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field
1022454332_6af2c1449a.jpg,"Two people are at the edge of a lake , facing the water and the city skyline"
1022454428_b6b660a67b.jpg,A couple with their newborn baby sitting under a tree facing a lake
1022975728_75515238d8.jpg,This is a black dog splashing in the water
102351840_323e3de834.jpg,A person in the snow drilling a hole in the ice
1024138940_f1fefbdce1.jpg,Two large tan dogs play along a sandy beach
102455176_5f8ead62d5.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall
1026685415_0431cbf574.jpg,A black dog carrying something through the grass
1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water
1030985833_b0902ea560.jpg,A black dog and a brown dog play with a red toy on a courtyard
103106960_e8a41d64f8.jpg,A child in a red jacket playing street hockey guarding a goal
103195344_5d2dc613a3.jpg,A man sits and reads a newspaper by a sculpture outside of an office building
103205630_682ca7285b.jpg,Two men are about to enter an ice fishing tent on a snow covered lake
1032122270_ea6f0beedb.jpg,A woman crouches near three dogs in a field
1032460886_4a598ed535.jpg,There is a skyscraper in the distance with a man walking in front of the camera
1034276567_49bb87c51c.jpg,A child biting into a baked good
104136873_5b5d41be75.jpg,People sit on the mountainside and check out the view
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt is looking down at many inflatable boats
1042590306_95dea0916c.jpg,"Asian man and blond woman holding hands outdoors , man in background watches"
1045521051_108ebc19be.jpg,A television with a picture of a girl on it
1048710776_bb5b0a5c7c.jpg,A group of people sit on a wall at the beach
1052358063_eae6744153.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches
105342180_4d4a40b47f.jpg,A woman with a paddle
1053804096_ad278b25f1.jpg,A girls plays in the surf
1055623002_8195a43714.jpg,A group of kids have a pillow-fight
1055753357_4fa3d8d693.jpg,Two construction workers take a seat on a steel beam
